2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
158 3.691340 1.803901 1.000000 1.000000 0.000000 0.978400 
159 3.493844 1.804042 1.000000 1.000000 0.000000 0.978400 
160 3.296392 1.804240 1.000000 1.000000 0.000000 0.978400 
161 3.098948 1.804499 1.000000 1.000000 0.000000 0.978400 
162 2.901496 1.804816 1.000000 1.000000 0.000000 0.978400 
163 2.704001 1.805192 1.000000 1.000000 0.000000 0.978400 
164 2.506507 1.805626 1.000000 1.000000 0.000000 0.978400 
165 2.309055 1.806121 1.000000 1.000000 0.000000 0.978400 
166 2.111603 1.806678 1.000000 1.000000 0.000000 0.978400 
167 1.914109 1.807298 1.000000 1.000000 0.000000 0.978400 
168 1.716616 1.807981 1.000000 1.000000 0.000000 0.978400 
169 1.519167 1.808727 1.000000 1.000000 0.000000 0.978400 
170 1.321725 1.809546 1.000000 1.000000 0.000000 0.978400 
171 1.124277 1.810435 1.000000 1.000000 0.000000 0.978400 
172 0.926786 1.811392 1.000000 1.000000 0.000000 0.978400 
173 0.725489 1.810132 1.000000 1.000000 0.000000 0.978400 
174 0.508128 1.799926 1.000000 1.000000 0.000000 0.978400 
175 0.244172 1.775194 1.000000 1.000000 0.000000 0.978400 
176 2.960407 0.308047 1.000000 1.000000 0.000000 0.978400 
177 2.716258 0.353454 1.000000 1.000000 0.000000 0.978400 
178 2.880335 0.509022 1.000000 1.000000 0.000000 0.978400 
179 3.101335 0.462844 1.000000 1.000000 0.000000 0.978400 
180 3.325912 0.418290 1.000000 1.000000 0.000000 0.978400 
181 3.544915 0.393563 1.000000 1.000000 0.000000 0.978400 
182 3.750763 0.382582 1.000000 1.000000 0.000000 0.978400 
